Origin,Destination,Date,Sender's Name,Sender City,Sender State,Total Pieces,Actual Wt,Volumetric Wt,Chargeable Wt,Paperwork,Sender Date,Recipient Name,Recipient City,Receiver State,Value Added Services,Consignment No,Expiry Date,Booking Code,Receiver Name,Receive Date,Tariff,VAS Charges,Total Amount,Mode,Risk Surcharge,Mode of Payment,Nature of Consignment
Nagpur,Jamshedpur,25-06-2025,Megha Majumdar,Nagpur,Maharashtra,5,1.45,1.9,1.9,No,25-06-2025,Benjamin Kalla,Jamshedpur,Jharkhand,COD,DTDC25102909,25-07-2025,BR609,Benjamin Kalla,30-06-2025,147.22,70.09,217.31,Express,Carrier,Cash,Dox
Jaipur,Vizag,27-06-2025,Nanda-Saraf,Jaipur,Rajasthan,5,5.94,6.12,6.12,No,27-06-2025,Qushi Goyal,Vizag,Andhra Pradesh,COD,DTDC49645557,27-07-2025,BR683,Qushi Goyal,28-06-2025,256.83,82.2,339.03,Surface,Carrier,Card,Dox
Lucknow,Bhubaneswar,27-06-2025,Contractor LLC,Lucknow,Uttar Pradesh,3,7.46,9.71,9.71,Yes,27-06-2025,Siddharth Gera,Bhubaneswar,Odisha,Express,DTDC06690709,27-07-2025,BR984,Siddharth Gera,28-06-2025,432.45,107.63,540.08,Surface,Carrier,Cash,Non-Dox
Coimbatore,Mumbai,11-06-2025,Krishna Hans,Coimbatore,Tamil Nadu,4,11.81,14.44,14.44,Yes,11-06-2025,Manbir Chakraborty,Mumbai,Maharashtra,COD,DTDC50559265,11-07-2025,BR413,Manbir Chakraborty,15-06-2025,1162,25.23,1187.23,Express,Carrier,Card,Non-Dox
Meerut,Vijayawada,01-07-2025,Kuruvilla-Tiwari,Meerut,Uttar Pradesh,3,5.97,6.72,6.72,No,01-07-2025,Sachi Bora,Vijayawada,Andhra Pradesh,COD,DTDC98609208,31-07-2025,BR742,Sachi Bora,05-07-2025,285.55,67.7,353.25,Surface,Carrier,Cash,Dox
Delhi,Nagpur,16-06-2025,"Palan, Varkey and De",Delhi,Delhi,4,8.4,9.24,9.24,Yes,16-06-2025,"Suresh, Pingle and Ratta",Nagpur,Maharashtra,Insurance,DTDC14539916,16-07-2025,BR769,"Suresh, Pingle and Ratta",19-06-2025,437.27,141.88,579.15,Surface,Carrier,Cash,Non-Dox
Ahmedabad,Bhubaneswar,07-06-2025,Quincy Rajagopal,Ahmedabad,Gujarat,5,4.17,6.58,6.58,No,07-06-2025,Boase Group,Bhubaneswar,Odisha,COD,DTDC91756766,07-07-2025,BR051,Boase Group,10-06-2025,389.63,102.04,491.67,Air Cargo,Carrier,Cash,Dox
Chennai,Vijayawada,23-06-2025,Ganga Gola,Chennai,Tamil Nadu,4,7.84,8.37,8.37,No,23-06-2025,Lipika Kaul,Vijayawada,Andhra Pradesh,None,DTDC13022086,23-07-2025,BR294,Lipika Kaul,28-06-2025,736.12,0,736.12,Express,Carrier,Card,Non-Dox
Delhi,Jamshedpur,30-06-2025,Keya Patil,Delhi,Delhi,3,6.48,7.36,7.36,Yes,30-06-2025,Master-Golla,Jamshedpur,Jharkhand,COD,DTDC91981448,30-07-2025,BR562,Master-Golla,04-07-2025,352.19,20.68,372.87,Surface,Carrier,Cash,Non-Dox
Dehradun,Nashik,26-06-2025,Lall LLC,Dehradun,Uttarakhand,4,8.06,10.82,10.82,Yes,26-06-2025,Dayamai Naik,Nashik,Maharashtra,None,DTDC34489695,26-07-2025,BR345,Dayamai Naik,27-06-2025,963.2,0,963.2,Express,Carrier,Card,Non-Dox
